0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:05 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6146
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:05 -0500] "GET /AvanceWeb/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:05 -0500] "GET /AvanceWeb/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:05 -0500] "GET /AvanceWeb/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:05 -0500] "GET /AvanceWeb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:05 -0500] "GET /AvanceWeb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:05 -0500] "GET /AvanceWeb/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:05 -0500] "GET /AvanceWeb/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:05 -0500] "GET /AvanceWeb/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:06 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:07 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:07 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:42 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6087
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:42 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:53 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6121
0:0:0:0:0:0:0:1 - - [16/May/2018:18:20:53 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:21:01 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6121
0:0:0:0:0:0:0:1 - - [16/May/2018:18:21:01 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:21:11 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6121
0:0:0:0:0:0:0:1 - - [16/May/2018:18:21:11 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:21:38 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6108
0:0:0:0:0:0:0:1 - - [16/May/2018:18:21:38 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:22:41 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6148
0:0:0:0:0:0:0:1 - - [16/May/2018:18:22:41 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:22:59 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6162
0:0:0:0:0:0:0:1 - - [16/May/2018:18:22:59 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:23:14 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6125
0:0:0:0:0:0:0:1 - - [16/May/2018:18:23:14 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:23:39 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [16/May/2018:18:23:39 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:23:40 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [16/May/2018:18:23:40 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:23:40 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [16/May/2018:18:23:40 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:23:41 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [16/May/2018:18:23:41 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:23:42 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [16/May/2018:18:23:42 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:24:16 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6187
0:0:0:0:0:0:0:1 - - [16/May/2018:18:24:16 -0500] "GET /AvanceWeb/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
